Market_Value,Height_cm,Position,Age,National_Matches,National_Goals
250000.0,193.0,Attack,45.0,125.0,38.0
50000.0,185.0,Attack,42.0,137.0,45.0
600000.0,185.0,Defender,47.0,3.0,0.0
9000000.0,186.0,Goalkeeper,49.0,49.0,0.0
1000000.0,175.0,Midfield,40.0,131.0,16.0
300000.0,183.0,Midfield,43.0,5.0,0.0
2000000.0,176.0,Midfield,34.0,0.0,0.0
300000.0,176.0,Attack,43.0,42.0,15.0
10000.0,195.0,Goalkeeper,43.0,0.0,0.0
250000.0,187.0,Midfield,39.0,40.0,2.0
750000.0,174.0,Midfield,38.0,88.0,6.0
750000.0,184.0,Goalkeeper,32.0,48.0,0.0
25000.0,188.0,Goalkeeper,45.0,17.0,0.0
800000.0,183.0,Defender,47.0,7.0,0.0
100000.0,181.0,Midfield,41.0,33.0,1.0
10000.0,172.0,Midfield,43.0,39.0,0.0
900000.0,185.0,Attack,32.0,18.0,7.0
100000.0,188.0,Goalkeeper,41.0,19.0,0.0
6000000.0,183.0,Defender,42.0,5.0,0.0
25000.0,180.0,Defender,38.0,1.0,0.0
1200000.0,184.0,Defender,40.0,195.0,23.0
50000.0,180.0,Midfield,41.0,16.0,1.0
250000.0,179.0,Midfield,41.0,67.0,7.0
18000000.0,170.0,Attack,39.0,217.0,130.0
4500000.0,185.0,Attack,44.0,4.0,0.0
150000.0,169.0,Midfield,37.0,76.0,9.0
100000.0,159.0,Midfield,39.0,16.0,5.0
250000.0,176.0,Midfield,35.0,0.0,0.0
200000.0,191.0,Goalkeeper,41.0,0.0,0.0
150000.0,177.0,Midfield,49.0,0.0,0.0
325000.0,180.0,Defender,35.0,13.0,0.0
1500000.0,180.0,Defender,36.0,166.0,6.0
50000.0,187.0,Goalkeeper,41.0,29.0,0.0
800000.0,187.0,Defender,38.0,63.0,3.0
250000.0,199.0,Goalkeeper,39.0,74.0,0.0
75000.0,191.0,Goalkeeper,38.0,28.0,0.0
100000.0,186.0,Defender,39.0,7.0,0.0
50000.0,185.0,Attack,39.0,49.0,18.0
150000.0,182.0,Defender,39.0,57.0,3.0
125000.0,185.0,Defender,35.0,0.0,0.0
25000.0,186.0,Defender,39.0,15.0,1.0
750000.0,175.0,Midfield,39.0,0.0,0.0
250000.0,180.0,Midfield,39.0,160.0,42.0
150000.0,178.0,Defender,38.0,92.0,7.0
12000000.0,185.0,Attack,38.0,163.0,86.0
50000.0,185.0,Midfield,39.0,101.0,18.0
900000.0,171.0,Attack,32.0,8.0,3.0
150000.0,179.0,Midfield,37.0,42.0,3.0
100000.0,193.0,Goalkeeper,42.0,72.0,0.0
75000.0,191.0,Attack,37.0,91.0,44.0
100000.0,180.0,Midfield,38.0,0.0,0.0
150000.0,182.0,Goalkeeper,40.0,0.0,0.0
200000.0,192.0,Goalkeeper,38.0,0.0,0.0
50000.0,180.0,Attack,37.0,67.0,21.0
150000.0,188.0,Defender,38.0,18.0,2.0
500000.0,192.0,Goalkeeper,38.0,8.0,0.0
150000.0,182.0,Midfield,39.0,0.0,0.0
200000.0,185.0,Attack,36.0,0.0,0.0
300000.0,184.0,Midfield,37.0,7.0,1.0
25000.0,190.0,Goalkeeper,37.0,3.0,0.0
4000000.0,183.0,Goalkeeper,38.0,159.0,0.0
100000.0,189.0,Defender,39.0,43.0,3.0
50000.0,178.0,Attack,41.0,43.0,4.0
100000.0,191.0,Attack,36.0,6.0,0.0
25000.0,182.0,Attack,38.0,6.0,1.0
3500000.0,180.0,Midfield,32.0,0.0,0.0
700000.0,180.0,Midfield,33.0,0.0,0.0
